[ Valid | 100/500 ] loss = 1.06220, acc = 0.79548 -> best
[ Valid | 101/500 ] loss = 1.06078, acc = 0.79301
[ Valid | 102/500 ] loss = 1.07678, acc = 0.78952
[ Valid | 103/500 ] loss = 1.08431, acc = 0.78728
[ Valid | 104/500 ] loss = 1.07161, acc = 0.79525
[ Valid | 105/500 ] loss = 1.09408, acc = 0.78364
[ Valid | 106/500 ] loss = 1.06301, acc = 0.79961 -> best
[ Valid | 107/500 ] loss = 1.06251, acc = 0.79824
[ Valid | 108/500 ] loss = 1.08573, acc = 0.79175
[ Valid | 109/500 ] loss = 1.07534, acc = 0.79468
[ Valid | 110/500 ] loss = 1.08932, acc = 0.79241
[ Valid | 111/500 ] loss = 1.06619, acc = 0.79854
[ Valid | 112/500 ] loss = 1.07881, acc = 0.79712
[ Valid | 113/500 ] loss = 1.05862, acc = 0.79936
[ Valid | 114/500 ] loss = 1.07178, acc = 0.79479
[ Valid | 115/500 ] loss = 1.08881, acc = 0.78714
[ Valid | 116/500 ] loss = 1.06499, acc = 0.79518
[ Valid | 117/500 ] loss = 1.06126, acc = 0.79913
[ Valid | 118/500 ] loss = 1.05443, acc = 0.79609
[ Valid | 119/500 ] loss = 1.05915, acc = 0.79742
[ Valid | 120/500 ] loss = 1.04277, acc = 0.80480 -> best
[ Valid | 121/500 ] loss = 1.04273, acc = 0.80585 -> best
[ Valid | 122/500 ] loss = 1.03242, acc = 0.80624 -> best
[ Valid | 123/500 ] loss = 1.03790, acc = 0.80477
[ Valid | 124/500 ] loss = 1.04428, acc = 0.80260
[ Valid | 125/500 ] loss = 1.03351, acc = 0.80327
[ Valid | 126/500 ] loss = 1.05075, acc = 0.79991
[ Valid | 127/500 ] loss = 1.03546, acc = 0.80210
[ Valid | 128/500 ] loss = 1.04410, acc = 0.80411
[ Valid | 129/500 ] loss = 1.05467, acc = 0.80279
[ Valid | 130/500 ] loss = 1.05633, acc = 0.80133
[ Valid | 131/500 ] loss = 1.03262, acc = 0.80658 -> best
[ Valid | 132/500 ] loss = 1.02388, acc = 0.81073 -> best
[ Valid | 133/500 ] loss = 1.02887, acc = 0.80480
[ Valid | 134/500 ] loss = 1.04836, acc = 0.80213
[ Valid | 135/500 ] loss = 1.03596, acc = 0.80806
[ Valid | 136/500 ] loss = 1.03953, acc = 0.80203
[ Valid | 137/500 ] loss = 1.03726, acc = 0.80679
[ Valid | 138/500 ] loss = 1.03391, acc = 0.80923
[ Valid | 139/500 ] loss = 1.02873, acc = 0.80996
[ Valid | 140/500 ] loss = 1.03398, acc = 0.80589
[ Valid | 141/500 ] loss = 1.05096, acc = 0.79433
[ Valid | 142/500 ] loss = 1.03584, acc = 0.80354
[ Valid | 143/500 ] loss = 1.04662, acc = 0.80331
[ Valid | 144/500 ] loss = 1.02510, acc = 0.81138 -> best
[ Valid | 145/500 ] loss = 1.02254, acc = 0.81293 -> best
[ Valid | 146/500 ] loss = 1.02162, acc = 0.81496 -> best
[ Valid | 147/500 ] loss = 1.01672, acc = 0.80953
[ Valid | 148/500 ] loss = 1.02051, acc = 0.81094
